videoId,missingTitleLanguages,missingDescriptionLanguages,studyQ1,studyQ2,studyQ3,studyQ4,studyQ5,studyQ6,studyQ7
1_wl7-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Broken1Vessel,1,1,19,19,19,N/A,N/A,N/A,N/A
7_0-nfs0503,0,0,19,19,N/A,N/A,N/A,N/A,N/A
2_VirtualMissionaryExt,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-BMe,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMatt2512,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins4Connect,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_RFD0702-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_Origins8Journey,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_fj_3-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7361-0-0,0,0,0,0,0,0,N/A,N/A,N/A
GOJohnCollection,19,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl72-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_Origins1Master,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins3New,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Brand_Video,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-Easter,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10_Darkroom11Afterlife,1,1,19,19,19,19,19,N/A,N/A
1_wl604441-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_0-Nightwatch,0,0,0,0,0,0,0,N/A,N/A
2_0-PaperHats,0,0,0,0,0,0,0,0,N/A
1_wl604423-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2618,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMark1512,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Loss2Forgiveness,0,0,19,19,19,N/A,N/A,N/A,N/A
IsItWorthIt,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Theophilus,0,0,0,0,0,0,N/A,N/A,N/A
7_Origins8Journey0103,1,1,19,19,19,N/A,N/A,N/A,N/A
2_PI,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6101-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_GOJ4948-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-Leland-Sturgis,0,0,0,0,0,0,N/A,N/A,N/A
11_Sermon0910,1,1,19,19,19,N/A,N/A,N/A,N/A
1_jf6159-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
4_Loss5Preview9x16,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7318-0-0,0,0,0,0,0,0,0,N/A,N/A
2_0-Good,0,0,0,0,0,0,0,N/A,N/A
2_0-LeaderImpact_19,19,19,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4925-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5509,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604403-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
1_wl604442-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
GoodStory,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7368-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7337-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheSavior5504,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604404-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_PIPerception,5,5,19,19,19,N/A,N/A,N/A,N/A
1_jf6127-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
1_cl1309-0-0,0,0,0,0,0,0,0,0,N/A
JFP-Classic,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604405-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5513,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_cl-0-0,0,0,0,0,0,0,0,N/A,N/A
1_wl604411-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_07-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7335-0-0,0,0,0,0,0,0,N/A,N/A,N/A
JFP-Interests,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_GOJ4932-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6131-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7321-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOMark1506,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6143-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_HowHaveRelationshipWithGod,0,0,19,19,19,N/A,N/A,N/A,N/A
2_Acts7324-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-Not-Evelyn-Cho,0,0,0,0,0,0,0,N/A,N/A
2_Acts7316-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-Just-An-Outside-Shot,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-Cabernet,0,0,0,0,0,0,N/A,N/A,N/A
4_PrayerForOlympics,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl60-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7329-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOJohn2212,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMatt2518,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMark1510,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_RFD0704-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6107-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6108-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-ComingHome,0,0,19,19,19,19,N/A,N/A,N/A
1_jf6103-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_PIHoroscope,5,5,19,19,19,N/A,N/A,N/A,N/A
3_0-40DWJ_37-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-8DWJ-WIJ_03-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_FileZero09-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_cl1302-0-0,0,0,0,0,0,0,0,0,N/A
2_GOJ4944-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-7DWJ-WWJ_06-0-0,0,0,0,0,0,0,N/A,N/A,N/A
4_Injury,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Fracture,0,0,0,0,0,0,0,N/A,N/A
2_BoA_BibleStudy-0-0,19,19,19,N/A,N/A,N/A,N/A,N/A,N/A
1_cl1304-0-0,0,0,0,0,0,0,0,0,N/A
AIA-WC,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
