videoId,languageId,edition,version,reason,r2AssetId,r2PublicUrl,originalFilename,status,flags,formatDurationSec,videoDurationSec,audioDurationSec,durationRatio,ffprobeError
1_cl-0-0,1269,cl,29939,no_variant,5b4f9144-9e13-4723-b106-03260d527903,https://api-media-core.jesusfilm.org/1_cl-0-0/variants/1269/videos/ac152fdd-1172-43da-94b3-ac9b586ebc70/1269_1_cl-0-0.mp4,1_cl-0-0---CL---1269---29939---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,3679.787,56.745,3679.787,64.848,
1_cl-0-0,4820,cl,29903,no_variant,4d578176-7712-47ab-8828-00aae6d1fc4d,https://api-media-core.jesusfilm.org/1_cl-0-0/variants/4820/videos/b2820b9e-1f09-41ce-8059-dc20552a435f/4820_1_cl-0-0.mp4,1_cl-0-0---CL---4820---29903---0---0.mp4,fail,container_video_ratio_ge_3;long_container_short_video;audio_video_ratio_ge_3,3679.787,56.745,3679.787,64.848,
1_jf6161-0-0,5456,ot,31638,no_variant,467a3990-8d44-4944-a9f3-9744445d08cd,https://api-media-core.jesusfilm.org/1_jf6161-0-0/variants/5456/videos/875a17b3-9c97-4eda-b41c-09a71f7f9fb1/5456_1_jf6161-0-0.mp4,1_jf6161-0-0---OT---5456---31638---0---0.mp4,ok,,340.565,340.507,340.565,1.000,
1_jf6160-0-0,5456,ot,31638,no_variant,33564986-4b7c-42ec-af8c-05d4a128fb13,https://api-media-core.jesusfilm.org/1_jf6160-0-0/variants/5456/videos/1322009d-6957-4f7d-87ab-3f31fda3de39/5456_1_jf6160-0-0.mp4,1_jf6160-0-0---OT---5456---31638---0---0.mp4,ok,,75.925,75.826,75.925,1.001,
1_jf6159-0-0,5456,ot,31638,no_variant,d6dea993-bbec-48cd-978a-163cf75d9e99,https://api-media-core.jesusfilm.org/1_jf6159-0-0/variants/5456/videos/3c0aa5f5-79c0-4aaa-bccf-c928d0febe2f/5456_1_jf6159-0-0.mp4,1_jf6159-0-0---OT---5456---31638---0---0.mp4,ok,,115.584,115.490,115.584,1.001,
1_jf6158-0-0,5456,ot,31638,no_variant,d5f5219e-263c-4f35-babd-e3759ed56e1d,https://api-media-core.jesusfilm.org/1_jf6158-0-0/variants/5456/videos/1ab8495c-2081-4a95-84ec-216bb8509554/5456_1_jf6158-0-0.mp4,1_jf6158-0-0---OT---5456---31638---0---0.mp4,ok,,82.432,82.332,82.432,1.001,
1_jf6157-0-0,5456,ot,31638,no_variant,0117c317-8c18-4e04-a1dc-0e4598c6ea08,https://api-media-core.jesusfilm.org/1_jf6157-0-0/variants/5456/videos/04000711-c9f8-40d8-a299-4eca76152a8e/5456_1_jf6157-0-0.mp4,1_jf6157-0-0---OT---5456---31638---0---0.mp4,ok,,88.597,88.505,88.597,1.001,
1_jf6156-0-0,5456,ot,31638,no_variant,8a7f9da3-6127-46a0-9c90-bdce1257634e,https://api-media-core.jesusfilm.org/1_jf6156-0-0/variants/5456/videos/288ef048-cd2c-4b3c-8e82-ef612ea5a06b/5456_1_jf6156-0-0.mp4,1_jf6156-0-0---OT---5456---31638---0---0.mp4,ok,,120.597,120.495,120.597,1.001,
1_jf6155-0-0,5456,ot,31638,no_variant,6662930d-b6e9-4df1-bb1f-17aa3a85d13f,https://api-media-core.jesusfilm.org/1_jf6155-0-0/variants/5456/videos/1f18444f-f4a1-40c0-9277-2a93348b69a1/5456_1_jf6155-0-0.mp4,1_jf6155-0-0---OT---5456---31638---0---0.mp4,ok,,105.664,105.564,105.664,1.001,
1_jf6154-0-0,5456,ot,31638,no_variant,f575b932-2a64-43af-9ab0-e5e50f0f3648,https://api-media-core.jesusfilm.org/1_jf6154-0-0/variants/5456/videos/da8e6be6-5665-4d8d-8202-083d0cd4447a/5456_1_jf6154-0-0.mp4,1_jf6154-0-0---OT---5456---31638---0---0.mp4,ok,,99.947,99.850,99.947,1.001,
