r2AssetId,r2PublicUrl,originalFilename,videoId,languageId,edition,version,missingMuxVideoId,muxStatus,muxErrorMessage
12c2206d-bb18-4715-bc35-7aaa0ffb2b69,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/13408/videos/92f254fe-b026-41be-9e5b-ba8885bb5bad/13408_1_wl60-0-0.mp4,1_wl60-0-0---WL60---13408---31852---0---0.mp4,1_wl60-0-0,13408,wl60,31852,true,,
44101f6b-312c-4543-b05e-8573fa8681ab,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5613/videos/412fbea1-c178-453c-888b-001512a9d7cd/5613_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5613---32899---0---0.mp4,1_wl60-0-0,5613,wl60,32899,true,,
05c6725b-baf4-47a2-9983-bb3773053bd0,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/12399/videos/0157924c-810f-4c1a-9612-9999c05c89eb/12399_1_wl60-0-0.mp4,1_wl60-0-0---WL60---12399---34359---0---0.mp4,1_wl60-0-0,12399,wl60,34359,true,,
accf1ce9-670e-454e-84bc-9132d08a1f5b,https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/33849bf3-fc82-4a6c-b948-fb52d803e082/101511_Perfect.mp4,Perfect---base---101511---1.mp4.mp4,Perfect,101511,base,1,true,,
5f8d917d-241d-4944-96b6-cc976a7ef0f9,https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/2172005a-6532-48e6-97bb-73d4ac599be3/101511_Perfect.mp4,Perfect---base---101511---1.mp4.mp4,Perfect,101511,base,1,true,,
5cc4b0ce-3e16-49d0-8667-40d9ce822efc,https://api-media-core.jesusfilm.org/Perfect/variants/101511/videos/2df9e47a-3437-4f7b-8e37-86d7058ec50d/101511_Perfect.mp4,Perfect---base---101511---1.mp4.mp4,Perfect,101511,base,1,true,,
aac7951c-0335-41a9-b561-ce434ac7665f,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184820/videos/9d02cccc-8f34-4842-b7ce-de7008f24bd2/184820_1_wl60-0-0.mp4,1_wl60-0-0---WL60---184820---34098---0---0.mp4,1_wl60-0-0,184820,wl60,34098,true,,
8c632be7-ef88-42e0-bb07-448d8c7720eb,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/20675/videos/9868f1c2-fe1e-4cf0-b564-1293c6ab08d8/20675_1_wl60-0-0.mp4,1_wl60-0-0---WL60---20675---33939---0---0.mp4,1_wl60-0-0,20675,wl60,33939,true,,
0a5f91a1-6ac2-4e72-a1be-d4660bf07b8a,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/114921/videos/59021281-19cd-4e4c-ba29-74f7569b0b0d/114921_1_wl60-0-0.mp4,1_wl60-0-0---WL60---114921---35413---0---0.mp4,1_wl60-0-0,114921,wl60,35413,true,,
1e9a76c2-5c4a-4418-b8f4-ccb5ad600722,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/99152/videos/5ad554fc-1455-4956-895e-d62a284bf8d9/99152_1_wl60-0-0.mp4,1_wl60-0-0---WL60---99152---35412---0---0.mp4,1_wl60-0-0,99152,wl60,35412,true,,
