referenceId,videoId,languageId,name,updatedAt,groupMemberVideoIds,videoVariantExists,muxVideoIdExists,isFeatureMissing,isAnyClipMissing
WESS_10393-cl-0-0_1440093902,1_cl-0-0,10393,The Story of JESUS for Children,2020-03-20T22:40:05.837Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_108102-cl-0-0_1456913105,1_cl-0-0,108102,The Story of JESUS for Children,2020-03-20T22:58:23.132Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1106-29850-ec-0-0_1337810102,1_cl-0-0,1106,The Story of JESUS for Children,2020-03-21T00:02:14.339Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1107-cl-0-0_1439230502,1_cl-0-0,1107,The Story of JESUS for Children,2020-03-20T22:22:24.987Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1109-cl-0-0_1438918502,1_cl-0-0,1109,The Story of JESUS for Children,2020-03-20T23:20:44.397Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1112-cl-0-0_1439318101,1_cl-0-0,1112,The Story of JESUS for Children,2020-03-20T22:40:24.948Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_111677-cl-0-0_1663951367,1_cl-0-0,111677,The Story of Jesus for Children,2022-09-23T16:55:28.700Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1171-cl-0-0_1438886104,1_cl-0-0,1171,The Story of JESUS for Children,2020-03-20T22:22:21.912Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1197-cl-0-0_1439236503,1_cl-0-0,1197,The Story of JESUS for Children,2020-03-20T23:20:38.810Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1231-cl-0-0_1439238901,1_cl-0-0,1231,The Story of JESUS for Children,2020-03-20T22:02:10.536Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
