identifier,field,current_bad_value,proposed_corrected_value,public_reachability,reachability_evidence,confidence,notes
2_0-Tumlukden,VideoTitle.value (default/en slot) -> Video.slug,"Tümlükden Nura",NEEDS CONTENT REVIEW (likely single-language title without the appended second name; do not auto-edit),CONFIRMED REACHABLE - CURRENTLY 404,"arc.gt/hil3v -> 302 jesusfilm.org/bin/jf/watch.html/2_0-Tumlukden/184566 -> 301 www.jesusfilm.org/... -> 302 /watch/t%C3%BCml%C3%BCkden-nura.html/indonesian-isa.html -> 404 (checked 2026-08-31 via curl)",high (user-supplied example, live-verified end-to-end),Root cause is the title text; slugify() faithfully propagates it into Video.slug. This is an active broken link today, not just a cosmetic issue.
2_0-La_Busqueda_The_Search,VideoTitle.value (default/en slot) -> Video.slug,"La Búsqueda - The Search",NEEDS CONTENT REVIEW (split into separate per-language titles: Spanish variant = 'La Búsqueda'; English variant = 'The Search'; do not auto-edit),CONFIRMED REACHABLE - CURRENTLY 404,"arc.gt/c78hb -> 302 jesusfilm.org/bin/jf/watch.html/2_0-La_Busqueda_The_Search/1269 -> 301 www.jesusfilm.org/... -> 302 /watch/la-b%C3%BAsqueda-the-search.html/dutch.html -> 404 (checked 2026-08-31 via curl)",high (matches user-supplied example pattern; id itself is underscore-joined; live-verified end-to-end),User's example cited 'La Recherche' (French); this id's English slot reads 'The Search' (English) -- same bug class, but the exact French variant was not located in this pass (needs the per-language sweep described in the audit note).
2_0-Brand_Video,VideoTitle.value (default/en slot),Brand_Video,Brand Video (placeholder pending real content title),CONFIRMED REACHABLE - LIVE (200),"arc.gt/gmw0a -> ... -> /watch/brand-video.html/english.html -> 200 (checked 2026-08-31 via curl)",high (mechanical underscore match + live-verified),"Video.slug is fine (slugify converts _ to -); only the displayed title is a raw internal-style filename remnant."
7_0-Easter,VideoTitle.value (default/en slot),NUA: Easter,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,"'NUA' appears to be a real branded short-film series name, not an internal code. Left in for reviewer visibility only; not counted as a confirmed finding."
7_0-EasterTrailer,VideoTitle.value (default/en slot),NUA Easter Trailer,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,Same NUA branding pattern as above.
7_0-ncs,VideoTitle.value (default/en slot),NUA: Christmas,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,Same NUA branding pattern as above.
7_0-nur,VideoTitle.value (default/en slot),NUR Series,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,"'NUR'/'NUA' variance across these ids may be worth a human sanity check but reads as branding, not an internal code leak."
7_Origins,VideoTitle.value (default/en slot),NUA: Origins,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,Same NUA branding pattern as above.
Nua,VideoTitle.value (default/en slot),NUA: Fresh Perspective,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,Same NUA branding pattern as above.
JFM1,VideoTitle.value (default/en slot),JFM Collection,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,Reads as a legitimate collection/brand name (Jesus Film Media?); not clearly an internal code.
1_jf-0-0,VideoTitle.value (default/en slot),JESUS,NOT A BUG,N/A,CONFIRMED REACHABLE - LIVE (flagship title; jesus.html/english.html verified 200 during baseline sanity check),false positive,The flagship JESUS film; ALL-CAPS is intentional branding.
2_The_Four_Collection,VideoTitle.value (default/en slot),THE FOUR,NOT A BUG - REVIEW ONLY,NOT CHECKED,not verified in this pass,low / likely false positive,Plausible legitimate title styling.
2_ThereIsHopeMena,VideoTitle.value (default/en slot),There Is Hope (MENA),NOT A BUG,N/A,not verified in this pass,false positive,MENA is a legitimate regional acronym (Middle East North Africa).
