videoId,field,languageId,currentValue,proposedValue,reasons,needsContentReview,published,reachability,httpStatus,checkedUrl,finalUrl
2_Acts7361-0-0,VideoTitle.value,3934, Павел предстает перед синедрионом.,Павел предстает перед синедрионом.,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paul-before-the-sanhedrin/russian,https://www.jesusfilm.org/watch/paul-before-the-sanhedrin.html/russian.html
2_Acts7361-0-0,VideoTitle.value,6464,महासभा के सामने पौलुस ,महासभा के सामने पौलुस,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paul-before-the-sanhedrin/portuguese-brazil,https://www.jesusfilm.org/watch/paul-before-the-sanhedrin.html/portuguese-brazil.html
1_jf6124-0-0,VideoTitle.value,6464,यीशु लकड़े को दुष्ट आत्मा से स्वस्थ करते हैं ,यीशु लकड़े को दुष्ट आत्मा से स्वस्थ करते हैं,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/jesus-heals-boy-from-evil-spirit/hindi,https://www.jesusfilm.org/watch/jesus-heals-boy-from-evil-spirit.html/hindi.html
2_0-Brand_Video,VideoTitle.value,529,Brand_Video,Brand Video,underscore,false,true,LIVE,200,https://www.jesusfilm.org/watch/brand-video/english,https://www.jesusfilm.org/watch/brand-video.html/english.html
1_fj_3-0-0,VideoTitle.value,407,دُعا، خدا سے باتیں کرنا۔ ,دُعا، خدا سے باتیں کرنا۔,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/prayer-talking-to-god/english,https://www.jesusfilm.org/watch/prayer-talking-to-god.html/english.html
1_fj_3-0-0,VideoTitle.value,6464,"प्रार्थना, भगवान से बातें करना ","प्रार्थना, भगवान से बातें करना",leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/prayer-talking-to-god/hindi,https://www.jesusfilm.org/watch/prayer-talking-to-god.html/hindi.html
1_jf6141-0-0,VideoTitle.value,496,Payer les taxes à César ,Payer les taxes à César,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paying-taxes-to-caesar/french,https://www.jesusfilm.org/watch/paying-taxes-to-caesar.html/french.html
2_0-PaperHats,VideoTitle.value,21754,"
纸帽",纸帽,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paper-hats/bari,https://www.jesusfilm.org/watch/paper-hats.html/bari.html
2_0-PaperHats,VideoTitle.value,22658,"طواقي ورق
",طواقي ورق,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paper-hats/arabic-modern-standard,https://www.jesusfilm.org/watch/paper-hats.html/arabic-modern-standard.html
2_0-PaperHats,VideoTitle.value,407,کاغذ کی ٹوپیاں ,کاغذ کی ٹوپیاں,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paper-hats/urdu,https://www.jesusfilm.org/watch/paper-hats.html/urdu.html
2_0-PaperHats,VideoTitle.value,6464,कागज की टोपियाँ ,कागज की टोपियाँ,leading-or-trailing-whitespace,false,true,LIVE,200,https://www.jesusfilm.org/watch/paper-hats/hindi,https://www.jesusfilm.org/watch/paper-hats.html/hindi.html
