Film Name,Language ID,Language BCP47,Version,ReEncodeStarted,Total Present,Total Missing,Missing Video IDs
JESUS Film,109459,,1,,62,0,
JESUS Film,116416,,1,,62,0,
Story Clubs,176243,bn,1,,14,0,
Story of Jesus for Children,176243,bn,1,,1,0,
Following Jesus India,176243,bn,1,,6,0,
My last Day,21753,zh-hant,1,,1,1,1_mld11-0-0
My last Day,176243,bn,1,,2,0,
Rivka,176243,bn,1,,13,0,
Magdalena,176243,bn,1,,54,0,
Reflections of Hope,176243,bn,1,,8,0,
JESUS Film,5074,,2,Y,62,0,
JESUS Film,139250,,5,Y,62,0,
JESUS Film,13555,ach,7,Y,62,0,
JESUS Film,20521,adh,8,Y,62,0,
JESUS Film,24409,adl,9,Y,62,0,
JESUS Film,20522,ady,10,Y,62,0,
JESUS Film,1280,ajg,19,Y,62,0,
JESUS Film,5288,fat,20,Y,62,0,
JESUS Film,12853,akl,24,Y,62,0,
JESUS Film,5296,kpo,25,Y,62,0,
JESUS Film,4793,alw,26,Y,62,0,
JESUS Film,14694,alz,31,Y,62,0,
JESUS Film,19171,ase,33,Y,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,8338,azg,41,Y,62,0,
JESUS Film,4790,anu,46,Y,62,0,
JESUS Film,5333,any,48,Y,62,0,
JESUS Film,1890,apn,50,Y,62,0,
JESUS Film,1889,apu,51,Y,62,0,
