Film Name,Language ID,Language Name,Language BCP47,Version,Total Present,Total Missing,Missing Video IDs
JESUS Film,10393,Norsk,no,23971,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,12961,Romanian Sign Language,rms,1184,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,14783,Ukrainian Sign Language,ukl,22006,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,1796,"Wayampi, Oiapoque",oym-x-Oiapoque,22856,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,1872,Brazilian Sign Language,bzs,21977,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,19171,American Sign Language,ase,33,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,1944,Russian Sign Language,rsl,1200,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,19877,Karang,kzr,31309,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,20538,"Arabic, North African",ar-aao,58,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
JESUS Film,41117,Letuama-Tanimuca,tnc,28981,1,61,"1_jf6101-0-0, 1_jf6102-0-0, 1_jf6103-0-0, 1_jf6104-0-0, 1_jf6105-0-0, 1_jf6106-0-0, 1_jf6107-0-0, 1_jf6108-0-0, 1_jf6109-0-0, 1_jf6110-0-0, 1_jf6111-0-0, 1_jf6112-0-0, 1_jf6113-0-0, 1_jf6114-0-0, 1_jf6115-0-0, 1_jf6116-0-0, 1_jf6117-0-0, 1_jf6118-0-0, 1_jf6119-0-0, 1_jf6120-0-0, 1_jf6121-0-0, 1_jf6122-0-0, 1_jf6123-0-0, 1_jf6124-0-0, 1_jf6125-0-0, 1_jf6126-0-0, 1_jf6127-0-0, 1_jf6128-0-0, 1_jf6129-0-0, 1_jf6130-0-0, 1_jf6131-0-0, 1_jf6132-0-0, 1_jf6133-0-0, 1_jf6134-0-0, 1_jf6135-0-0, 1_jf6136-0-0, 1_jf6137-0-0, 1_jf6138-0-0, 1_jf6139-0-0, 1_jf6140-0-0, 1_jf6141-0-0, 1_jf6142-0-0, 1_jf6143-0-0, 1_jf6144-0-0, 1_jf6145-0-0, 1_jf6146-0-0, 1_jf6147-0-0, 1_jf6148-0-0, 1_jf6149-0-0, 1_jf6150-0-0, 1_jf6151-0-0, 1_jf6152-0-0, 1_jf6153-0-0, 1_jf6154-0-0, 1_jf6155-0-0, 1_jf6156-0-0, 1_jf6157-0-0, 1_jf6158-0-0, 1_jf6159-0-0, 1_jf6160-0-0, 1_jf6161-0-0"
